time,WIN@N
2016-02-17 09:00:00,41950.0
2016-02-17 09:15:00,41985.0
2016-02-17 09:30:00,41935.0
2016-02-17 09:45:00,41990.0
2016-02-17 10:00:00,42115.0
2016-02-17 10:15:00,42160.0
2016-02-17 10:30:00,42285.0
2016-02-17 10:45:00,42250.0
2016-02-17 11:00:00,42190.0
2016-02-17 11:15:00,42130.0
2016-02-17 11:30:00,42190.0
2016-02-17 11:45:00,42160.0
2016-02-17 12:00:00,42235.0
2016-02-17 12:15:00,42270.0
2016-02-17 12:30:00,42320.0
2016-02-17 12:45:00,42360.0
2016-02-17 13:00:00,42435.0
2016-02-17 13:15:00,42415.0
2016-02-17 13:30:00,42470.0
2016-02-17 13:45:00,42420.0
2016-02-17 14:00:00,42385.0
2016-02-17 14:15:00,42520.0
2016-02-17 14:30:00,42570.0
2016-02-17 14:45:00,42710.0
2016-02-17 15:00:00,42805.0
2016-02-17 15:15:00,42930.0
2016-02-17 15:30:00,43020.0
2016-02-17 15:45:00,43045.0
2016-02-17 16:00:00,42830.0
2016-02-17 16:15:00,42700.0
2016-02-17 16:30:00,42060.0
2016-02-17 16:45:00,42310.0
2016-02-17 17:00:00,42525.0
2016-02-17 17:15:00,42285.0
2016-02-17 17:30:00,42335.0
2016-02-17 17:45:00,42240.0
2016-02-17 18:00:00,42100.0
2016-02-18 09:00:00,42080.0
2016-02-18 09:15:00,42255.0
2016-02-18 09:30:00,42230.0
2016-02-18 09:45:00,42025.0
2016-02-18 10:00:00,42010.0
2016-02-18 10:15:00,42145.0
2016-02-18 10:30:00,41955.0
2016-02-18 10:45:00,41950.0
2016-02-18 11:00:00,41925.0
2016-02-18 11:15:00,42030.0
2016-02-18 11:30:00,42145.0
2016-02-18 11:45:00,42225.0
2016-02-18 12:00:00,42165.0
2016-02-18 12:15:00,42280.0
2016-02-18 12:30:00,42085.0
2016-02-18 12:45:00,42185.0
2016-02-18 13:00:00,42065.0
2016-02-18 13:15:00,42250.0
